,m,distribution,draw,trueEnt,naive,mean,1smin,1smax,2smin,2smax,samp,N
0,2.0,0.0,0.0,0.9957333185163826,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,2.0
1,2.0,0.0,1.0,0.9957333185163826,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,2.0
2,2.0,0.0,2.0,0.9957333185163826,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,2.0
3,2.0,0.0,3.0,0.9957333185163826,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,2.0
4,2.0,0.0,4.0,0.9957333185163826,1.0,1.4729999999999999,1.0,2.0,1.0,2.0,1000.0,2.0
5,2.0,0.0,5.0,0.9957333185163826,1.0,1.479,1.0,2.0,1.0,2.0,1000.0,2.0
6,2.0,0.0,6.0,0.9957333185163826,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,2.0
7,2.0,0.0,7.0,0.9957333185163826,1.0,1.494,1.0,2.0,1.0,2.0,1000.0,2.0
8,2.0,0.0,8.0,0.9957333185163826,1.0,1.488,1.0,2.0,1.0,2.0,1000.0,2.0
9,2.0,0.0,9.0,0.9957333185163826,1.0,1.509,1.0,2.0,1.0,2.0,1000.0,2.0
10,2.0,0.0,0.0,0.9957333185163826,0.9182958340544898,1.216741980122202,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
11,2.0,0.0,1.0,0.9957333185163826,0.9182958340544898,1.2277615301308553,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
12,2.0,0.0,2.0,0.9957333185163826,0.9182958340544898,1.2213334592924743,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
13,2.0,0.0,3.0,0.9957333185163826,0.9182958340544898,1.2314347134670731,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
14,2.0,0.0,4.0,0.9957333185163826,0.9182958340544898,1.2277615301308553,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
15,2.0,0.0,5.0,0.9957333185163826,0.9182958340544898,1.2341896009692364,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
16,2.0,0.0,6.0,0.9957333185163826,0.9182958340544898,1.2194968676243652,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
17,2.0,0.0,7.0,0.9957333185163826,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,3.0
18,2.0,0.0,8.0,0.9957333185163826,0.9182958340544898,1.1947028801048951,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
19,2.0,0.0,9.0,0.9957333185163826,0.9182958340544898,1.2332713051351818,0.9182958340544898,1.8365916681089796,0.9182958340544898,1.8365916681089796,1000.0,3.0
20,2.0,0.0,0.0,0.9957333185163826,0.8112781244591328,1.02287808667139,0.6225562489182657,1.6225562489182657,0.6225562489182657,1.6225562489182657,1000.0,4.0
21,2.0,0.0,1.0,0.9957333185163826,0.8112781244591328,1.0082750804311256,0.6225562489182657,1.6225562489182657,0.6225562489182657,1.6225562489182657,1000.0,4.0
22,2.0,0.0,2.0,0.9957333185163826,1.0,1.225549659645973,1.0,1.188721875540867,1.0,2.0,1000.0,4.0
23,2.0,0.0,3.0,0.9957333185163826,0.8112781244591328,1.0128412460577483,0.6225562489182657,1.6225562489182657,0.6225562489182657,1.6225562489182657,1000.0,4.0
24,2.0,0.0,4.0,0.9957333185163826,1.0,1.2177383815215137,1.0,1.188721875540867,1.0,2.0,1000.0,4.0
25,2.0,0.0,5.0,0.9957333185163826,-0.0,-0.0,0.0,0.0,0.0,0.0,1000.0,4.0
26,2.0,0.0,6.0,0.9957333185163826,1.0,1.2259639440106964,1.0,1.188721875540867,1.0,2.0,1000.0,4.0
27,2.0,0.0,7.0,0.9957333185163826,1.0,1.2308338721611172,1.0,1.188721875540867,1.0,2.0,1000.0,4.0
28,2.0,0.0,8.0,0.9957333185163826,0.8112781244591328,1.0366893647958493,0.6225562489182657,1.6225562489182657,0.6225562489182657,1.6225562489182657,1000.0,4.0
29,2.0,0.0,9.0,0.9957333185163826,1.0,1.2071353752812493,1.0,1.188721875540867,1.0,2.0,1000.0,4.0
30,2.0,0.0,0.0,0.9957333185163826,0.9709505944546685,1.1381741842400181,0.9709505944546685,1.2199730940219746,0.9709505944546685,1.941901188909337,1000.0,5.0
31,2.0,0.0,1.0,0.9957333185163826,0.7219280948873623,0.8943218686991647,0.47290559532005616,1.4438561897747246,0.47290559532005616,1.4438561897747246,1000.0,5.0
32,2.0,0.0,2.0,0.9957333185163826,0.7219280948873623,0.9068939476194463,0.47290559532005616,1.4438561897747246,0.47290559532005616,1.4438561897747246,1000.0,5.0
33,2.0,0.0,3.0,0.9957333185163826,0.9709505944546685,1.1487792225675748,0.9709505944546685,1.2199730940219746,0.9709505944546685,1.941901188909337,1000.0,5.0
34,2.0,0.0,4.0,0.9957333185163826,0.9709505944546685,1.121044282116082,0.9709505944546685,1.2199730940219746,0.9709505944546685,1.941901188909337,1000.0,5.0
